ID,ID,Fry,Sex,Mass (g),SL (hand-mm),SL (mm),Depth (mm),Relative Size,Dif Mass,Dif SL (H),Dif SL,Dif Dep,Shim,App,Out,Part,In,Shim_Dif,App_Dif,Out_Dif,Part_Dif,In_Dif,T,E2,Pr,11KT
JTRF02,MS1,No,Male,3.87,57,58.886,12.571,Smaller,-2.63,-8,-11.43,-2.32,1,7,1140,20,40,-4,0,1100,-257,-842,137,20,290,37
JTRF03,MB2,No,Male,4.28,59,62.856,12.483,Bigger,1.17,5,7.69,0.8,19,72,0,100,1100,-33,42,0,100,-100,93,53,289,25
JTRF04,MB3,No,Male,3.59,55,59.542,11.563,Bigger,0.95,5,8.19,0.57,6,22,91,860,249,-5,18,73,702,-776,149,88,247,46
JTRF07,MB4,No,Male,3.3,54,59.785,11.743,Bigger,0.39,4,8.81,0.85,0,4,1109,31,60,0,-6,1107,-172,-935,240,84,371,46
JTRF09,MB1,No,Male,4.5,60,62.582,12.743,Bigger,1.18,7,8.23,1.13,4,13,896,146,158,-18,-8,776,-577,-201,81,34,194,31
JTRF12,MS2,No,Male,4.25,59,61.196,11.85,Smaller,-3.24,-11,-10.47,-3.56,9,24,389,297,515,9,21,-635,242,397,115,42,284,20
JTRF13,MS3,No,Male,3.68,57,59.393,11.343,Smaller,-3.85,-13,-12.57,-3.76,10,5,161,839,199,7,-1,-494,790,-293,107,21,262,43
JTRM01,FB1,No,Female,3.16,53,56.478,11.21,Bigger,1.14,6,9.1,2.04,0,5,678,302,221,0,-3,678,184,-862,373,253,407,30
JTRM02,FB2,No,Female,2.89,52,53.612,11.57,Bigger,0.87,6,2.37,1.39,3,13,747,187,265,-18,3,745,-22,-724,399,765,573,43
JTRM06,FB3,No,Female,2.78,50,51.56,10.72,Bigger,0.9,6,5.68,1.53,18,25,949,99,151,13,-4,346,-140,-207,432,1740,247,31
JTRM09,FS4,No,Female,3.51,54,58.358,11.281,Smaller,0.08,-3,-2.05,-0.01,9,4,873,149,178,6,-2,372,-37,-200,305,908,350,26
JTRX01,FS1,Yes,Female,2.8,52,53.432,11.915,Smaller,-1.14,-5,-3.644,-1.515,16,12,7,175,1015,15,-1,-1101,145,959,214,165,847,37
JTRX02,FS2,Yes,Female,3.82,54,54.507,13.661,Smaller,-0.49,-3,-4.767,-0.334,0,3,275,199,723,0,-9,-769,181,588,73,428,389,18
JTRX04,FS3,Yes,Female,4.18,55,58.33,14.891,Smaller,-0.26,-6,-4.091,0.291,54,17,0,0,1200,54,6,-475,-303,788,181,217,460,25